2023-10-06 11:36:00.323 [HTTP-Dispatcher] INFO  o.e.c.channel.ChannelFactory(65) -   Object Channel 10 is calling 
2023-10-06 11:36:00.472 [HTTP-Dispatcher] INFO  o.e.c.channel.ChannelFactory(70) -   Object Channel 10 is returning 
2023-10-06 11:36:00.473 [HTTP-Dispatcher] INFO  org.example.service.Producer(46) -  Process sendToExchange in Producer take 152 millisecond
2023-10-06 11:37:01.830 [HTTP-Dispatcher] INFO  org.example.service.Producer(42) -  Start sendToExchange in Producer 
2023-10-06 11:37:01.831 [HTTP-Dispatcher] INFO  o.e.c.channel.ChannelFactory(65) -   Object Channel 10 is calling 
2023-10-06 11:37:01.832 [HTTP-Dispatcher] INFO  o.e.c.channel.ChannelFactory(70) -   Object Channel 10 is returning 
2023-10-06 11:37:01.832 [HTTP-Dispatcher] INFO  org.example.service.Producer(46) -  Process sendToExchange in Producer take 2 millisecond
2023-10-06 11:37:46.824 [HTTP-Dispatcher] INFO  org.example.service.Producer(42) -  Start sendToExchange in Producer 
2023-10-06 11:37:46.824 [HTTP-Dispatcher] INFO  o.e.c.channel.ChannelFactory(65) -   Object Channel 10 is calling 
2023-10-06 11:37:46.825 [HTTP-Dispatcher] INFO  o.e.c.channel.ChannelFactory(70) -   Object Channel 10 is returning 
2023-10-06 11:37:46.826 [HTTP-Dispatcher] INFO  org.example.service.Producer(46) -  Process sendToExchange in Producer take 2 millisecond
2023-10-06 11:55:27.291 [main] DEBUG c.r.c.impl.ConsumerWorkService(40) -  Creating executor service with 20 thread(s) for consumer work service
2023-10-06 11:55:27.821 [main] INFO  o.e.c.c.RabbitMqConnectionFactory(74) -   Object Connection b4961205-a482-4c99-863e-4876a21d1175 is creating 
2023-10-06 11:55:27.979 [main] DEBUG c.r.c.impl.ConsumerWorkService(40) -  Creating executor service with 20 thread(s) for consumer work service
2023-10-06 11:55:28.449 [main] INFO  o.e.c.c.RabbitMqConnectionFactory(74) -   Object Connection 98e308b0-6f10-4b61-820e-4a22b059f22f is creating 
2023-10-06 11:55:28.604 [main] DEBUG c.r.c.impl.ConsumerWorkService(40) -  Creating executor service with 20 thread(s) for consumer work service
2023-10-06 11:55:29.067 [main] INFO  o.e.c.c.RabbitMqConnectionFactory(74) -   Object Connection a12f99de-a6ad-4567-b675-2f7033178971 is creating 
2023-10-06 11:55:29.067 [main] INFO  o.e.c.c.RabbitMqConnectionPool(62) -  Create InternalPool with 3 Connection in Pool
2023-10-06 11:55:29.068 [main] INFO  o.e.c.c.RabbitMqConnectionFactory(100) -   Object Connection a12f99de-a6ad-4567-b675-2f7033178971 is calling !
2023-10-06 11:55:29.068 [main] INFO  o.e.c.c.RabbitMqConnectionPool(85) -   Quantity connection Active in Connection pool: 1
2023-10-06 11:55:29.070 [main] INFO  o.e.c.c.RabbitMqConnectionFactory(106) -   Object Connection a12f99de-a6ad-4567-b675-2f7033178971 is returning !
2023-10-06 11:55:29.236 [main] INFO  o.e.c.channel.ChannelFactory(41) -   Object Channel 1 is creating 
2023-10-06 11:55:29.391 [main] INFO  o.e.c.channel.ChannelFactory(41) -   Object Channel 2 is creating 
2023-10-06 11:55:29.546 [main] INFO  o.e.c.channel.ChannelFactory(41) -   Object Channel 3 is creating 
2023-10-06 11:55:29.702 [main] INFO  o.e.c.channel.ChannelFactory(41) -   Object Channel 4 is creating 
2023-10-06 11:55:29.857 [main] INFO  o.e.c.channel.ChannelFactory(41) -   Object Channel 5 is creating 
2023-10-06 11:55:30.015 [main] INFO  o.e.c.channel.ChannelFactory(41) -   Object Channel 6 is creating 
2023-10-06 11:55:30.170 [main] INFO  o.e.c.channel.ChannelFactory(41) -   Object Channel 7 is creating 
